Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5380,0.5191,0.6689,0.4067,0.8291,0.1709,0.6582,0.5102,0.5057,0.5147,0.8844,365.2797,0.1461,0.0748,0.5875
2,0.5409,0.4718,0.6034,0.3627,0.8023,0.1977,0.6045,0.4836,0.4409,0.5353,0.8286,471.0518,0.1555,0.0655,0.6196
3,0.5917,0.4807,0.6280,0.4154,0.8181,0.1819,0.6362,0.5266,0.4788,0.5850,0.8251,474.7184,0.1517,0.0646,0.5908
4,0.5270,0.4362,0.5982,0.3346,0.8107,0.1893,0.6214,0.4488,0.4520,0.4457,0.8921,345.0538,0.1405,0.0862,0.6077
5,0.6050,0.4860,0.6310,0.4421,0.8346,0.1654,0.6691,0.5428,0.5198,0.5679,0.8547,408.6988,0.0225,0.0101,0.5945
6,0.4908,0.4387,0.5652,0.2945,0.7940,0.2060,0.5879,0.4196,0.4091,0.4307,0.8841,386.3409,0.1386,0.0581,0.6048
7,0.5938,0.5156,0.6717,0.4394,0.8462,0.1538,0.6925,0.5310,0.5618,0.5033,0.9322,280.1640,0.2042,0.1225,0.6342
8,0.4863,0.4557,0.5961,0.3177,0.7882,0.2118,0.5765,0.4471,0.4076,0.4951,0.8425,471.3826,0.1480,0.0533,0.5956
9,0.6052,0.5100,0.6516,0.4526,0.8294,0.1706,0.6588,0.5569,0.5054,0.6200,0.8267,477.0356,0.1517,0.0612,0.6281
10,0.6301,0.5245,0.6741,0.4971,0.8413,0.1587,0.6827,0.5941,0.5327,0.6715,0.8227,492.7243,0.1517,0.0558,0.6202
,,,,,,,,,,,,,,,
Mean,0.5609,0.4838,0.6288,0.3963,0.8194,0.1806,0.6388,0.5061,0.4814,0.5369,0.8593,417.2450,0.1410,0.0652,0.6083
Std,0.0509,0.0331,0.0376,0.0660,0.0200,0.0200,0.0401,0.0553,0.0526,0.0755,0.0372,71.5950,0.0455,0.0282,0.0164
Str,56.09±5.09,48.38±3.31,62.88±3.76,39.63±6.60,81.94±2.00,18.06±2.00,63.88±4.01,50.61±5.53,48.14±5.26,53.69±7.55,85.93±3.72,41724.50±7159.50,14.10±4.55,6.52±2.82,0.61±0.02
