Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.2188,0.0510,0.2507,-0.0091,0.2188,0.7812,-0.5624,0.2333,0.1351,0.8546,0.1506,203.1343,0.0145,0.0015,0.0689
2,0.2188,0.0445,0.2507,-0.0065,0.2090,0.7910,-0.5820,0.2359,0.1363,0.8778,0.1334,205.2337,0.0145,0.0015,0.0725
3,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0712
4,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0672
5,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0742
6,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0712
7,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0697
8,0.2159,0.0490,0.2478,-0.0102,0.2218,0.7782,-0.5563,0.2323,0.1346,0.8463,0.1567,202.4363,0.0145,0.0016,0.0608
9,0.2159,0.0468,0.2478,-0.0094,0.2186,0.7814,-0.5629,0.2331,0.1350,0.8538,0.1510,203.1365,0.0145,0.0015,0.0774
10,0.2188,0.0445,0.2507,-0.0065,0.2090,0.7910,-0.5820,0.2359,0.1363,0.8778,0.1334,205.2337,0.0145,0.0015,0.0714
,,,,,,,,,,,,,,,
Mean,0.2168,0.0470,0.2487,-0.0088,0.2170,0.7830,-0.5660,0.2336,0.1352,0.8579,0.1480,203.4857,0.0145,0.0015,0.0705
Std,0.0014,0.0019,0.0014,0.0013,0.0043,0.0043,0.0087,0.0012,0.0006,0.0107,0.0079,0.9468,0.0000,0.0000,0.0044
Str,21.68±0.14,4.70±0.19,24.87±0.14,-0.88±0.13,21.70±0.43,78.30±0.43,-56.60±0.87,23.36±0.12,13.52±0.06,85.79±1.07,14.80±0.79,20348.57±94.68,1.45±0.00,0.15±0.00,0.07±0.00
