Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.4374,0.3486,0.5434,0.2306,0.8041,0.1959,0.6083,0.3421,0.4081,0.2945,1.0000,0.9910,0.9984,0.9963,1.6362
2,0.4587,0.3813,0.5715,0.2598,0.8116,0.1884,0.6231,0.3671,0.4379,0.3160,1.0000,0.8345,0.9984,0.9963,1.5633
3,0.4584,0.3951,0.5849,0.2750,0.8154,0.1846,0.6309,0.3801,0.4534,0.3272,1.0000,0.8345,0.9984,0.9963,1.7655
4,0.4390,0.3605,0.5668,0.2403,0.8066,0.1934,0.6132,0.3505,0.4181,0.3017,1.0000,0.9910,0.9984,0.9963,1.5486
5,0.4723,0.4067,0.5903,0.2835,0.8176,0.1824,0.6352,0.3874,0.4621,0.3335,1.0000,0.8345,0.9984,0.9963,1.3247
6,0.4470,0.3446,0.5640,0.2397,0.8065,0.1935,0.6129,0.3499,0.4174,0.3012,1.0000,0.9910,0.9984,0.9963,1.9434
7,0.4568,0.3492,0.5725,0.2394,0.8064,0.1936,0.6128,0.3497,0.4171,0.3010,1.0000,0.8345,0.9984,0.9963,1.3986
8,0.4584,0.3974,0.5865,0.2777,0.8161,0.1839,0.6322,0.3824,0.4561,0.3292,1.0000,0.6409,0.9984,0.9963,1.7019
9,0.4001,0.3612,0.5748,0.2359,0.8055,0.1945,0.6110,0.3467,0.4135,0.2984,1.0000,0.6409,0.9984,0.9963,1.5777
10,0.4444,0.3657,0.5685,0.2493,0.8089,0.1911,0.6178,0.3581,0.4272,0.3083,1.0000,0.6409,0.9984,0.9963,1.3498
,,,,,,,,,,,,,,,
Mean,0.4472,0.3710,0.5723,0.2531,0.8099,0.1901,0.6197,0.3614,0.4311,0.3111,1.0000,0.8234,0.9984,0.9963,1.5810
Std,0.0197,0.0225,0.0135,0.0194,0.0049,0.0049,0.0099,0.0166,0.0198,0.0143,0.0000,0.1433,0.0000,0.0000,0.1935
Str,44.72±1.97,37.10±2.25,57.23±1.35,25.31±1.94,80.99±0.49,19.01±0.49,61.97±0.99,36.14±1.66,43.11±1.98,31.11±1.43,100.00±0.00,82.34±14.33,99.84±0.00,99.63±0.00,1.58±0.19
