Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.2130,0.0423,0.2435,-0.0114,0.2050,0.7950,-0.5899,0.2322,0.1341,0.8641,0.1278,205.2554,0.0145,0.0015,0.0090
2,0.2319,0.0162,0.2319,0.0000,0.1391,0.8609,-0.7218,0.2442,0.1391,1.0000,0.0000,218.1972,0.0000,0.0000,0.0097
3,0.3261,0.2360,0.3870,0.0883,0.6731,0.3269,0.3462,0.2623,0.1912,0.4179,0.6158,104.1516,0.0145,0.0031,0.0090
4,0.2188,0.0408,0.2406,-0.0113,0.2285,0.7715,-0.5430,0.2310,0.1341,0.8330,0.1614,201.0799,0.0145,0.0016,0.0100
5,0.2826,0.1444,0.3667,0.0127,0.3765,0.6235,-0.2470,0.2408,0.1450,0.7110,0.3173,175.5639,0.0145,0.0018,0.0097
6,0.2623,0.1666,0.2913,0.0628,0.6421,0.3579,0.2842,0.2472,0.1747,0.4226,0.5423,112.0427,0.0145,0.0031,0.0140
7,0.2754,0.1629,0.3333,0.0019,0.5248,0.4752,0.0497,0.2159,0.1401,0.4702,0.4911,139.4609,0.0145,0.0022,0.0120
8,0.2275,0.0495,0.2464,-0.0101,0.2430,0.7570,-0.5140,0.2312,0.1346,0.8184,0.1821,198.6303,0.0145,0.0016,0.0070
9,0.2841,0.0941,0.3145,-0.0056,0.2940,0.7060,-0.4119,0.2318,0.1366,0.7658,0.2240,189.6916,0.0145,0.0016,0.0267
10,0.2290,0.0211,0.2435,-0.0021,0.1725,0.8275,-0.6551,0.2411,0.1382,0.9452,0.0713,212.2284,0.0145,0.0015,0.0256
,,,,,,,,,,,,,,,
Mean,0.2551,0.0974,0.2899,0.0125,0.3499,0.6501,-0.3003,0.2378,0.1468,0.7248,0.2733,175.6302,0.0130,0.0018,0.0133
Std,0.0368,0.0756,0.0576,0.0345,0.1965,0.1965,0.3929,0.0124,0.0197,0.2151,0.2105,41.9844,0.0046,0.0009,0.0070
Str,25.51±3.68,9.74±7.56,28.99±5.76,1.25±3.45,34.99±19.65,65.01±19.65,-30.03±39.29,23.78±1.24,14.68±1.97,72.48±21.51,27.33±21.05,17563.02±4198.44,1.30±0.46,0.18±0.09,0.01±0.01
