Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5144,0.4407,0.6013,0.3247,0.8104,0.1896,0.6208,0.4387,0.4494,0.4285,0.9017,323.1317,0.1105,0.0681,0.5799
2,0.6027,0.4869,0.6521,0.4222,0.8326,0.1674,0.6653,0.5237,0.5156,0.5321,0.8765,373.9700,0.1405,0.0779,0.5961
3,0.5587,0.4463,0.6034,0.3453,0.8120,0.1880,0.6240,0.4591,0.4568,0.4613,0.8917,360.3730,0.1555,0.0813,0.5930
4,0.5149,0.4096,0.5872,0.3138,0.8061,0.1939,0.6123,0.4306,0.4375,0.4238,0.8977,333.6047,0.1405,0.0794,0.6234
5,0.5886,0.4635,0.5968,0.3900,0.8058,0.1942,0.6117,0.5086,0.4522,0.5811,0.7785,503.8252,0.0225,0.0097,0.6157
6,0.4884,0.3813,0.5439,0.2851,0.7652,0.2348,0.5305,0.4282,0.3699,0.5083,0.7806,542.1654,0.0244,0.0087,0.6193
7,0.4982,0.4323,0.5697,0.3391,0.7941,0.2059,0.5881,0.4650,0.4221,0.5176,0.8171,476.7648,0.0805,0.0315,0.6402
8,0.4446,0.3910,0.5540,0.2577,0.7789,0.2211,0.5578,0.3925,0.3739,0.4130,0.8708,415.2890,0.1480,0.0587,0.5798
9,0.5718,0.4451,0.6088,0.3558,0.8057,0.1943,0.6113,0.4744,0.4456,0.5073,0.8564,433.2978,0.1180,0.0495,0.6178
10,0.5277,0.4623,0.5973,0.3508,0.7996,0.2004,0.5992,0.4733,0.4338,0.5206,0.8304,464.2655,0.0899,0.0368,0.6310
,,,,,,,,,,,,,,,
Mean,0.5310,0.4359,0.5914,0.3385,0.8010,0.1990,0.6021,0.4594,0.4357,0.4894,0.8501,422.6687,0.1030,0.0502,0.6096
Std,0.0492,0.0333,0.0306,0.0475,0.0186,0.0186,0.0371,0.0391,0.0418,0.0551,0.0463,74.3731,0.0485,0.0276,0.0211
Str,53.10±4.92,43.59±3.33,59.14±3.06,33.85±4.75,80.10±1.86,19.90±1.86,60.21±3.71,45.94±3.91,43.57±4.18,48.94±5.51,85.01±4.63,42266.87±7437.31,10.30±4.85,5.02±2.76,0.61±0.02
