Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5373,0.4330,0.5816,0.3203,0.8019,0.1981,0.6039,0.4406,0.4306,0.4511,0.8767,383.1611,0.1105,0.0525,0.5795
2,0.5067,0.4168,0.5673,0.3032,0.7971,0.2029,0.5942,0.4264,0.4171,0.4360,0.8742,381.8924,0.1386,0.0696,0.6253
3,0.5434,0.4348,0.5882,0.3226,0.8054,0.1946,0.6109,0.4403,0.4381,0.4426,0.8917,360.6116,0.1555,0.0787,0.6050
4,0.5109,0.4115,0.5860,0.3106,0.8059,0.1941,0.6117,0.4275,0.4362,0.4191,0.9004,328.2079,0.1405,0.0813,0.7829
5,0.6113,0.4735,0.6195,0.4237,0.8166,0.1834,0.6333,0.5358,0.4765,0.6120,0.7787,503.4908,0.0225,0.0098,0.6230
6,0.5245,0.4347,0.6083,0.3285,0.8104,0.1896,0.6207,0.4427,0.4501,0.4356,0.8906,333.0167,0.0899,0.0545,0.6209
7,0.5818,0.4500,0.6340,0.3764,0.8121,0.1879,0.6242,0.4911,0.4618,0.5243,0.8454,431.6306,0.1330,0.0575,0.6609
8,0.4296,0.3681,0.5116,0.2335,0.7775,0.2225,0.5550,0.3685,0.3618,0.3754,0.8825,377.2352,0.1480,0.0745,0.6205
9,0.5673,0.4423,0.6055,0.3493,0.8043,0.1957,0.6086,0.4687,0.4417,0.4992,0.8586,429.0276,0.1180,0.0502,0.8585
10,0.5294,0.4625,0.5973,0.3518,0.8000,0.2000,0.6001,0.4740,0.4348,0.5211,0.8307,463.5267,0.0899,0.0371,0.5931
,,,,,,,,,,,,,,,
Mean,0.5342,0.4327,0.5899,0.3320,0.8031,0.1969,0.6062,0.4516,0.4349,0.4716,0.8629,399.1801,0.1146,0.0566,0.6570
Std,0.0492,0.0295,0.0337,0.0498,0.0107,0.0107,0.0214,0.0446,0.0306,0.0679,0.0368,56.6709,0.0396,0.0217,0.0907
Str,53.42±4.92,43.27±2.95,58.99±3.37,33.20±4.98,80.31±1.07,19.69±1.07,60.62±2.14,45.16±4.46,43.49±3.06,47.16±6.79,86.29±3.68,39918.01±5667.09,11.46±3.96,5.66±2.17,0.66±0.09
