Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5545,0.0087,0.5545,0.0113,0.5056,0.4944,0.0112,0.5098,0.5052,0.5144,0.9869,148.4924,0.8654,0.7627,0.1678
2,0.5410,0.0123,0.5410,0.0065,0.5030,0.4970,0.0061,0.6170,0.5017,0.8009,0.5122,851.3566,0.2282,0.1288,0.1500
3,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1453
4,0.5551,0.0090,0.5551,0.0115,0.5058,0.4942,0.0115,0.5110,0.5053,0.5169,0.9834,166.8772,0.8487,0.7372,0.1358
5,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1465
6,0.5519,0.0080,0.5519,0.0102,0.5051,0.4949,0.0101,0.5101,0.5047,0.5156,0.9843,162.6346,0.8526,0.7430,0.1311
7,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1440
8,0.5936,0.0265,0.5936,0.0344,0.5172,0.4828,0.0344,0.5261,0.5163,0.5364,0.9717,217.7889,0.8026,0.6702,0.1628
9,0.5410,0.0055,0.5410,0.0062,0.5030,0.4970,0.0061,0.5286,0.5025,0.5575,0.9196,364.8671,0.6692,0.5029,0.1567
10,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.1580
,,,,,,,,,,,,,,,
Mean,0.5810,0.0257,0.5810,0.0328,0.5164,0.4836,0.0328,0.5353,0.5157,0.5622,0.9274,256.3969,0.7676,0.6556,0.1498
Std,0.0446,0.0298,0.0446,0.0410,0.0205,0.0205,0.0410,0.0337,0.0206,0.0858,0.1474,227.2503,0.2060,0.2218,0.0116
Str,58.10±4.46,2.57±2.98,58.10±4.46,3.28±4.10,51.64±2.05,48.36±2.05,3.28±4.10,53.53±3.37,51.57±2.06,56.22±8.58,92.74±14.74,25639.69±22725.03,76.76±20.60,65.56±22.18,0.15±0.01
