Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.3493,0.2395,0.4159,0.1469,0.8206,0.1794,0.6411,0.2454,0.2956,0.2098,1.0000,0.8165,0.9855,0.9577,0.1671
2,0.3565,0.2552,0.4391,0.1532,0.8219,0.1781,0.6438,0.2510,0.3023,0.2146,1.0000,1.0541,0.9710,0.9571,0.1627
3,0.3232,0.2503,0.4275,0.1481,0.8208,0.1792,0.6416,0.2464,0.2969,0.2107,1.0000,0.8165,0.9855,0.9714,0.1627
4,0.3507,0.2450,0.4319,0.1439,0.8199,0.1801,0.6399,0.2428,0.2925,0.2075,1.0000,0.8165,0.9855,0.9577,0.1537
5,0.3609,0.2744,0.4420,0.1734,0.8261,0.1739,0.6523,0.2688,0.3238,0.2298,1.0000,0.8165,0.9855,0.9714,0.1460
6,0.2942,0.2231,0.4174,0.1219,0.8153,0.1847,0.6306,0.2233,0.2690,0.1909,1.0000,0.8165,0.9855,0.9714,0.1505
7,0.3058,0.2292,0.4203,0.1269,0.8163,0.1837,0.6327,0.2277,0.2743,0.1947,1.0000,0.9428,0.9855,0.9577,0.1670
8,0.3333,0.2409,0.4232,0.1449,0.8201,0.1799,0.6403,0.2436,0.2935,0.2083,1.0000,1.0541,0.9855,0.9577,0.1615
9,0.3522,0.2694,0.4522,0.1646,0.8243,0.1757,0.6485,0.2610,0.3144,0.2231,1.0000,0.9428,0.9855,0.9577,0.1577
10,0.3101,0.2541,0.4304,0.1458,0.8203,0.1797,0.6407,0.2444,0.2945,0.2090,1.0000,0.9428,0.9855,0.9714,0.1547
,,,,,,,,,,,,,,,
Mean,0.3336,0.2481,0.4300,0.1470,0.8206,0.1794,0.6411,0.2455,0.2957,0.2098,1.0000,0.9019,0.9841,0.9632,0.1583
Std,0.0239,0.0162,0.0117,0.0152,0.0032,0.0032,0.0064,0.0135,0.0162,0.0115,0.0000,0.0988,0.0046,0.0071,0.0070
Str,33.36±2.39,24.81±1.62,43.00±1.17,14.70±1.52,82.06±0.32,17.94±0.32,64.11±0.64,24.55±1.35,29.57±1.62,20.98±1.15,100.00±0.00,90.19±9.88,98.41±0.46,96.32±0.71,0.16±0.01
