Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5523,0.5146,0.6818,0.4165,0.8408,0.1592,0.6816,0.5111,0.5449,0.4813,0.9374,269.9145,0.2416,0.1541,3.3219
2,0.5615,0.4858,0.6556,0.3979,0.8291,0.1709,0.6582,0.5010,0.5060,0.4960,0.9048,341.3760,0.1330,0.0669,3.2616
3,0.5486,0.4716,0.6174,0.3702,0.8094,0.1906,0.6188,0.4866,0.4555,0.5222,0.8514,437.5168,0.1611,0.0780,2.9190
4,0.5657,0.4813,0.6415,0.4067,0.8388,0.1612,0.6775,0.5024,0.5387,0.4706,0.9437,261.6390,0.2285,0.1366,3.1480
5,0.5802,0.5095,0.6575,0.3976,0.8306,0.1694,0.6612,0.4995,0.5106,0.4890,0.9073,326.0296,0.1555,0.0819,3.0397
6,0.5748,0.5285,0.6661,0.4264,0.8424,0.1576,0.6848,0.5203,0.5493,0.4942,0.9370,283.2336,0.2060,0.1065,3.3400
7,0.5465,0.5129,0.6769,0.4164,0.8457,0.1543,0.6914,0.5067,0.5666,0.4582,0.9696,198.0025,0.3859,0.2302,3.3611
8,0.5331,0.4846,0.6081,0.3347,0.8121,0.1879,0.6243,0.4478,0.4553,0.4405,0.9107,332.8060,0.1573,0.0798,2.3116
9,0.6024,0.4889,0.6432,0.4589,0.8412,0.1588,0.6824,0.5555,0.5383,0.5738,0.8861,393.8108,0.1536,0.0647,3.3444
10,0.5685,0.5202,0.6865,0.4196,0.8403,0.1597,0.6807,0.5149,0.5425,0.4900,0.9381,285.9493,0.3372,0.1889,3.0426
,,,,,,,,,,,,,,,
Mean,0.5634,0.4998,0.6535,0.4045,0.8330,0.1670,0.6661,0.5046,0.5208,0.4916,0.9186,313.0278,0.2160,0.1188,3.1090
Std,0.0198,0.0194,0.0263,0.0335,0.0128,0.0128,0.0256,0.0270,0.0387,0.0365,0.0338,68.9110,0.0852,0.0570,0.3203
Str,56.34±1.98,49.98±1.94,65.35±2.63,40.45±3.35,83.30±1.28,16.70±1.28,66.61±2.56,50.46±2.70,52.08±3.87,49.16±3.65,91.86±3.38,31302.78±6891.10,21.60±8.52,11.88±5.70,3.11±0.32
