Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5032,0.0000,0.5032,-0.0006,0.4997,0.5003,-0.0006,0.4994,0.4994,0.4994,1.0000,1.4142,0.9987,0.9974,0.4091
2,0.6904,0.1073,0.6904,0.1444,0.5722,0.4278,0.1444,0.5719,0.5719,0.5719,1.0000,1.4142,0.9987,0.9974,0.2781
3,0.5083,0.0002,0.5083,-0.0004,0.4998,0.5002,-0.0004,0.4995,0.4995,0.4995,1.0000,1.4142,0.9987,0.9974,0.4785
4,0.6891,0.1058,0.6891,0.1425,0.5712,0.4288,0.1425,0.5710,0.5710,0.5710,1.0000,1.4142,0.9987,0.9974,0.3451
5,0.5192,0.0011,0.5192,0.0008,0.5004,0.4996,0.0008,0.5001,0.5001,0.5001,1.0000,0.0000,1.0000,1.0000,0.4951
6,0.5212,0.0013,0.5212,0.0011,0.5006,0.4994,0.0011,0.5003,0.5003,0.5003,1.0000,1.4142,0.9987,0.9974,0.3808
7,0.5026,0.0000,0.5026,-0.0006,0.4997,0.5003,-0.0006,0.4994,0.4994,0.4994,1.0000,0.0000,1.0000,1.0000,0.5133
8,0.5115,0.0004,0.5115,-0.0001,0.4999,0.5001,-0.0001,0.4996,0.4996,0.4996,1.0000,0.0000,1.0000,1.0000,0.4572
9,0.5045,0.0001,0.5045,-0.0006,0.4997,0.5003,-0.0006,0.4994,0.4994,0.4994,1.0000,1.4142,0.9987,0.9974,0.4140
10,0.6910,0.1080,0.6910,0.1454,0.5727,0.4273,0.1454,0.5724,0.5724,0.5724,1.0000,0.0000,1.0000,1.0000,0.3139
,,,,,,,,,,,,,,,
Mean,0.5641,0.0324,0.5641,0.0432,0.5216,0.4784,0.0432,0.5213,0.5213,0.5213,1.0000,0.8485,0.9992,0.9985,0.4085
Std,0.0872,0.0515,0.0872,0.0696,0.0348,0.0348,0.0696,0.0348,0.0348,0.0348,0.0000,0.7303,0.0007,0.0013,0.0792
Str,56.41±8.72,3.24±5.15,56.41±8.72,4.32±6.96,52.16±3.48,47.84±3.48,4.32±6.96,52.13±3.48,52.13±3.48,52.13±3.48,100.00±0.00,84.85±73.03,99.92±0.07,99.85±0.13,0.41±0.08
